08:28:46.909 INFO  SIP2_GIS_SERVICE. [List Show] 
08:55:26.021 INFO  SIP2_GIS_SERVICE. [List Show] 
09:00:07.186 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504084] [77.265413], [Live Location] 
09:00:07.210 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504084] [77.265413], [Live Location] 
09:00:17.702 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515037] [77.2654489], [Live Location] 
09:00:17.722 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515037] [77.2654489], [Live Location] 
09:00:21.935 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5388954] [77.2822981], [Live Location] 
09:00:21.954 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5388954] [77.2822981], [Live Location] 
09:00:28.732 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515037] [77.2654489], [Live Location] 
09:00:28.751 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515037] [77.2654489], [Live Location] 
09:00:38.811 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504262] [77.2654302], [Live Location] 
09:00:38.828 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504262] [77.2654302], [Live Location] 
09:00:39.744 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515037] [77.2654489], [Live Location] 
09:00:39.761 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515037] [77.2654489], [Live Location] 
09:00:41.533 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5391128] [77.2823233], [Live Location] 
09:00:41.561 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5391128] [77.2823233], [Live Location] 
09:00:50.705 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515116] [77.2654529], [Live Location] 
09:00:50.722 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515116] [77.2654529], [Live Location] 
09:01:01.697 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515116] [77.2654529], [Live Location] 
09:01:01.725 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515116] [77.2654529], [Live Location] 
09:01:08.625 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504259] [77.2654241], [Live Location] 
09:01:08.641 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504259] [77.2654241], [Live Location] 
09:01:12.104 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5395401] [77.2820401], [Live Location] 
09:01:12.124 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5395401] [77.2820401], [Live Location] 
09:01:12.729 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515078] [77.265447], [Live Location] 
09:01:12.744 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515078] [77.265447], [Live Location] 
09:01:23.743 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515078] [77.265447], [Live Location] 
09:01:23.755 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515078] [77.265447], [Live Location] 
09:01:34.721 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515078] [77.265447], [Live Location] 
09:01:34.737 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515078] [77.265447], [Live Location] 
09:01:36.270 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504005] [77.2655632], [Live Location] 
09:01:36.287 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504005] [77.2655632], [Live Location] 
09:01:42.118 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5400531] [77.2816348], [Live Location] 
09:01:42.150 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5400531] [77.2816348], [Live Location] 
09:01:45.744 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5514957] [77.2654746], [Live Location] 
09:01:45.763 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5514957] [77.2654746], [Live Location] 
09:01:56.742 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5514957] [77.2654746], [Live Location] 
09:01:56.761 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5514957] [77.2654746], [Live Location] 
09:01:59.140 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5390204] [77.2824655], [Live Location] 
09:01:59.158 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5390204] [77.2824655], [Live Location] 
09:02:07.691 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5514957] [77.2654746], [Live Location] 
09:02:07.710 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5514957] [77.2654746], [Live Location] 
